,roles,companies,locations,experience,salary,skills,Description,Roles,Education
10,Senior Data Scientist,ORMAE LLP,Bengaluru,5 - 10 years,Not Disclosed,"Key Skills
RAlgorithmsApplied StatisticsMongoDBVisualization ToolsSparkTableauApplied MathematicsMachine LearningPredictive AnalyticsPythonSQL","Roles and Responsibilities
Scientist should have experience in machine learning algorithms, predictive analytics, demand forecasting. (S)He should have strong statistical background in descriptive and inferential statistics, regression, forecasting techniques. Good background in?data?structures, graph theory, object oriented programming. He should have Programming background in Python (including packages like Tensorflow), R, D3.js, Tableau, Spark, SQL, MongoDB.

Qualification: Background in a highly quantitative field like Data Science, Computer Science, Statistics, Applied Mathematics, Operations Research, Industrial Engineering, or similar fields.","RoleAnalytics Manager
Industry TypeKPO, Research, Analytics
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Sc in Maths, Computers, Statistics, B.Tech/B.E. in Production/Industrial, Computers, B.A in Statistics, Maths, BCA in Computers
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
11,Sr Professional - Data Scientist / Analytics,Sutherland Global Services Inc,Hyderabad,3 - 8 years,Not Disclosed,"Key Skills
Data analysisHealthcareOpen sourceForecastingService qualityAnalyticsSQLPythonRecruitmentHBase","Job Description
Data Scientists in this role get to:
Keep management updated : Relay vital information in the form of timely and accurate reports
Impact the bottom line : Produce solid and effective strategies based on accurate and meaningful data reports and analysis and/or keen observations
Define Sutherland s reputation : Oversee and manage performance and service quality to guarantee customer satisfaction;
Strengthen relationships : Establish and maintain communication with clients and/or team members; understand needs, resolve issues, and meet expectations
Take the lead : Think critically and identify opportunities for improvement, then work with global SMEs to integrate efficiencies into daily activities
Qualifications
To succeed in this position, you must:
Be familiar with concepts like Regression, Decision Trees, Support Vector Machines, Neural networks, Time Series Forecasting, Clustering
Have knowledge of building predictive models and validating them for selection of the best model to deploy
Have excellent knowledge of one or more statistical programming language, preferably open source languages R or Python
Have the ability to deal with lots of variables in datasets and select best variables to include in the model
Have Dimension reduction techniques knowledge of integrating data from a variety of sources and able to look for opportunities to generate insights
Have ability to perform exploratory data analysis using visualizations to come up with initial insights
Have strong hands on expertise in SQL + Excel
Be able to understand the business objective to map out the data requirements + the analytics efforts
Be able to articulate clearly the business value from the Analytics output Must be able to communicate in layman terms the story and insights from the data
Be able to work and collaborate with team members from various other functions Proficient in structured dataset analysis
Have knowledge to run BI tools (like Power BI, Tableau, etc.)
Have familiarity with big data tools and platforms (such as Hadoop, Hive, Hbase, MAPR, etc.) and NLP toolkit
Have knowledge of Healthcare and Health Insurance industry
Have good knowledge in R, Python, Hadoop ecosystem (Hive, Pig, Imphala, Spark, Sqoop) and Visualization tools (Tableau, High Chart, PowerBI)
Be attentive to details and ability to work in a fast-paced environment
Be able to adjust quickly and smoothly to changing priorities and conditions
Have ability to interpret data, identify trends, and make suggestions for improvements.
Have strong analytical skills; be able to interpret data, identify trends, and make suggestions for improvements
Be pro-active in developing trust and professional rapport with employees and team members; work as a team-player
Have strong verbal and written communication skills; be able to communicate in a clear, constructive, and professional manner
Education:
Any Graduate BTech/BE/MCA","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization, B.Tech/B.E. in Production/Industrial
PG :MCA in Computers"
12,Data scientist,IBM India Pvt. Limited,Bengaluru,2 - 7 years,Not Disclosed,"Key Skills
Natural Language ProcessingML algorithmsData MiningLegal OperationsText MiningSQLRData ScientistSPSSData AnalyticsStatistical AnalysisPythonPredictive Analytics","Roles and Responsibilities

Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.


Your Role and Responsibilities
As an Advisory Data Scientist, you will demonstrate expertise in Advanced people analytics. We use the latest advanced analytics technologies, tools, and techniques to extract insights from our data. We work collaboratively with other teams within the company and apply these insights to make complex and strategic decisions for the benefit of IBM. As a Data Scientist, you'll team with some of the best mind in the industry to create innovative world class solutions focused on business needs. You'll do this by designing/developing analytical approaches to solve our client's business problems.

Responsibilities:
Work with clients in defining the key business problems to be solved while developing, maintaining and leveraging key client relationships.
Identifying, gathering, and analyzing complex, multi-dimensional datasets utilizing a variety of tools.
Designing Advanced Analytics solutions and services in the area(s) of optimization (linear, mixed integer, constraint programming) or simulations, or predictive analytics.
Formulating mathematical approaches to solve those problems potentially utilizing ILOG CPLEX, Standard Query Language (SQL), Apache Spark, Statistical Packages Social Sciences(SPSS), Python, R.
Using industry technologies, tools and data mining frameworks for data analytics including data visualization for analyzing and drawing conclusions.
Communicating the data insights to key stakeholders and get their buy-ins.
Integrating the analytics Into existing business work flows.
Measuring business outcome (quantitatively and/or qualitatively) on a periodic basis.
Developing junior team members and leading project tasks.
Maintaining knowledge and understanding of current and emerging trends within the analytics industry.
A good level of business acumen and business domain knowledge is highly preferred


Required Technical and Professional Expertise
A minimum of 2 years of experience in determining mathematical approaches to solve problems, sampling plan and gathering/analyzing /portraying data
Proficient in designing/building/managing solutions utilizing for example ILOG CPlex, Python, Standard Query Language (SQL), Apache Spark, Statistical Package Social Sciences(SPSS), or R
Work experience in building predictive models using various ML algorithms, drawing insights from the model output, communicating the results to key stakeholders, integrating the analytics into existing business workflows and measuring business outcome
Expertise in statistical analysis and deploying the results of the analysis
Experience in data collection/data mining/text mining

Preferred Technical and Professional Expertise
A minimum of 5 years experience in determining mathematical approaches to solve problems, sampling plan and gathering/analyzing /portraying data
Exposure to unstructured data sets and Natural Language Processing
Proven Business acumen and business domain knowledge is highly preferred","RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
13,Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Chennai, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Gurgaon",3 - 5 years,"₹ 8,00,000 - 14,00,000 P.A.","Key Skills
pythondata analyticsEDASASPower Bitime seriesbusiness analyticsbusiness intelligencesqlrtableaudata scienceadvanced excelstatistical modelingData VisualizationPredictive Analytics","Ganit Inc. is the fastest growing Data Science & AI company in Chennai.
Founded in 2017, by 3 industry experts who are almunus of IITs/SPJIMR with each of them having 17+ years of experience in the field of analytics.
We are in the business of maximizing Decision Making Power (DMP) for companies by providing solutions at the intersection of hypothesis based analytics, discovery based AI and IoT. Our solutions are a combination of customized services and functional product suite.
We primarily operate as a US-based start-up and have clients across US, Asia-Pacific, Middle-East and have offices in USA - New Jersey & India - Chennai.

We currently have openings in Data Science and looking for Immediate Joiners.
We are open for candidates in any location

1. What do we expect from you

- Should posses minimum 2 years of experience of data analytics model development and deployment
- Skills relating to core Statistics & Mathematics.
- Huge interest in handling numbers
- Ability to understand all domains in businesses across various sectors
- Natural passion towards numbers, business, coding, visualization

2. Necessary skill set:

- Proficient in R/Python, Advanced Excel, SQL
- Should have worked with Retail/FMCG/CPG projects solving analytical problems in Sales/Marketing/Supply Chain functions
- Very good understanding of algorithms, mathematical models, statistical techniques, data mining, like Regression models, Clustering/ Segmentation, time series forecasting, Decision trees/Random forest, etc.
- Ability to choose the right model for the right data and translate that into code in R, Python, VBA (Proven capabilities)
- Should have handled large datasets and with through understanding of SQL
- Ability to handle a team of Data Analysts


3. Good to have skill set:

- Microsoft PowerBI / Tableau / Qlik View / Spotfire

4. Job Responsibilities:

- Translate business requirements into technical requirements
- Data extraction, preparation and transformation
- Identify, develop and implement statistical techniques and algorithms that address business challenges and adds value to the organization
- Create and implement data models
- Interact with clients for queries and delivery adoption

5. Screening Methodology

- Problem Solving round (Telephonic Conversation)
- Technical discussion round (Telephonic Conversation)
- Hands on Coding Challenge
- Final fitment discussion (Video Round)
Perks and Benefits 
Insurance like Medical,term - offered to every employee;","RoleData Analyst
Industry TypeKPO, Research, Analytics
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required, Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization"
14,Lead Data Scientist,Leading Data Science Firm,"Chennai, Mumbai, Bengaluru, Hyderabad",7 - 12 years,Not Disclosed,"Key Skills
Data ScienceRPython
Team ManagementProcess DocumentationAlgorithmsArtificial IntelligenceScripting LanguagesMachine LearningCustomer Engagement
Skills highlighted with ‘‘ are preferred keyskills","About the Role

The candidate will work on a broad range of cutting edge data science and machine learning problems across a variety of industries. He / She will be engaging with clients to understand their business context and lead a team of data scientists and engineers to embed AI and machine learning into the business decision processes. If you are passionate to work on complex unstructured business problems that can be solved using data science and machine learning we would like to talk to you.

Role involves a combination of hands-on contribution being a technical SME, customer engagement, and technical team management. 

Roles & Responsibilities: 

Lead data science aspects of client engagements on their own end to end, effortlessly switching between roles of an Individual Contributor, team member, and data science manager as demanded by each project 
Work closely with project team, Customer stakeholders, and internal Business Units in devising creative analytical approaches to solve business problems. 
Developing and enhancing algorithms and models to solve business problem. 
Maintaining all models along with developing and updating code and process documentation.

Does this sound like you?

Must have skills:
Demonstrated analytical, quantitative, and programming skills.
Ability to build models & solve complex problems.
Knowledge of one of statistical/general purpose scripting languages software such as R or Python.
Prior experience working with consulting or IT/ITES companies.

Nice to have:
B. Tech / M.Tech / MS from Tier-1 college (IITs, NITs, IIITs etc.)
 Github profile with projects to demonstrate exposure to Data Science.

Behavioural strengths:
 Ability to manage teams & stakeholders
 Structured thinking
 Detailed doer

The Application Process :

Step 1: Apply for the job post here to express interest in the role.
Step 2: Now that we know you are interested, the next step involves online screening of your candidature. You will receive an email from our screening partner, Shortlist. The email would include a link where you can complete your application - a few short questions on your experience followed by an assessment to demonstrate our ability to do the job. 

You can also find the link here: https://www.shortlist.net/jobs/3347

Shortlist will keep you updated regularly on whether or not you're shortlisted.","RoleData Scientist
Industry TypeStrategy, Management Consulting Firms
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryNot mentioned","Education
UG :B.Tech/B.E. in Any Specialization"
15,Sr. Data Scientist,GlobusSoft,Bengaluru( 5th block Koramangala ),5 - 7 years,"₹ 8,00,000 - 10,00,000 P.A.","Key Skills
Predictive ModelingAzureAINeural NetworksBig DataData MiningMachine LearningRevenue GenerationGoogle CloudNLPCloud ComputingAlgorithmsNoSQldata scientistThird PartyAWSPython","Roles and Responsibilities:

* Selecting features, building and optimizing classifiers using machine learning techniques
* Data mining using state-of-the-art methods
* Extending companys data with third party sources of information when needed
* Processing, cleansing, and verifying the integrity of data used for analysis
* Develop custom data models and algorithms to apply to data sets.
* Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
*Experience on building recommendation model.","RoleDatabase Architect/Designer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization"
16,Data Scientist,Verizon Data Services India Pvt.Ltd,Bengaluru,5 - 10 years,Not Disclosed,"Key Skills
Computer scienceNetworkingMachine learningSCALACustomer supportdata visualizationbig dataSQLPython","In your role as data scientist you will :
Select features, building and optimizing classifiers using machine learning techniques
Build statistical/machine learning models to extract insights
Create automated anomaly detection systems and constant tracking of its performance
Collaborate with subject matter experts to determine relevant data sources
Communicate the insights/recommendations to a wide spectrum of stake holder
Act as a mentor to guide/train less experienced folks
What we re looking for...
A degreein Computer science/Statistics or equivalent
At least 5 years of experience in predictive modelling, strong knowledge of machine learning algorithms.
Strong in R,Python (numpy, scipy etc)
Very strong SQL and data visualization
Exposure to Big Data platforms such as Spark, Mahout, Scala, AWS machine learning is a plus
Great communications skills","RoleAdministration Services/Medical Facilities
Industry TypeIT-Software, Software Services
Functional AreaMedical, Healthcare, R&D, Pharmaceuticals, Biotechnology
Employment TypeFull Time, Permanent
Role CategoryMedical Professional","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
17,Immediate hiring For Principal Data Scientist - Bangalore,RANDSTAD INDIA PVT LTD,Bengaluru,8 - 12 years,Not Disclosed,"Key Skills
Data ScienceRNLPNoSQLArtificial IntelligenceMachine LearningNumpyPythonSQL","Greeting from Randstad Technologies!

We are hiring Principal Data Scientist with Product based client at Bangalore location.

Job Description:
Excellent understanding of machine learning techniques and algorithms including but not limited to k-NN, Naive Bayes, SVM, Decision Forests.
Should have experience in Machine learning , Artificial intelligence , NLP.
Should have strong Python programming language experience 
Very strong experience with common data science toolkits, such as R, Weka, NumPy, MatLab.
Great communication skills (both written and verbal)
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good communication skills.


Job Location : Bangalore
Interview Mode : Online
Experience Required : 8-12 yrs
Notice Period : 0 - 15 Days (Max)



Interested candidates can share their updated resume to Durgesh.k@randstad.in



Thanks & Regards,
Durgesh Kumar","RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization"
18,Senior Data Scientist,Infoblox,Bengaluru,4 - 9 years,Not Disclosed,"Key Skills
Computer scienceData analysisdata scienceMachine learningSCALADNSNetwork securityData miningbig dataPython","  Apply data mining and machine learning techniques for a variety of modeling problems involving DNS and networking data
Build complex statistical models that learn from and scale to petabytes of data
Develop deployment architecture and scripts for automated system deployment in AWS
Create software to extract, clean and manipulate large datasets both structured and unstructured
Construct data staging layers and fast real-time systems to feed machine learning algorithms
Work with architects and product managers to develop efficient and reliable algorithms
Work collaboratively across multi-disciplinary teams throughout the company as a subject matter expert in analytics with a focus on security solutions and implementation
Requirements:
6+ years of experience with 2+ years in a practical Machine Learning experience with demonstrated experience in feature engineering and data analysis
4+ years of experience in analytic design and implementation
4+ years experience in Big Data with Spark/Hadoop tech stack
4+ years in the hands-on analytic environment, with the ability to articulate analytic needs and translate them into research and development requirements
Demonstrated ability to quickly learn new tools and paradigms to deploy cutting-edge solutions.
Expertise in automating and deploying models in production systems
Familiar with best practices for engineering in an enterprise environment
Proficient in Python, with specific expertise in Python s data science and machine learning libraries
Strong written and spoken communication skills
Experience with Amazon Web Services
Experience with one or more of, Keras, and TensorFlow
Proficiency in Java or Scala, particularly in a big data spark/hadoop environment
Expertise in streaming analytics frameworks such as Apache Spark, Storm, MOA and WekA
Knowledge of Hadoop architecture, HDFS, Map-Reduce Algorithms and Elastic Search
Network security background, familiarity with botnets, DDoS, and other threat types
Education:
Masters or Ph.D. in Computer Science, Mathematics, CE, EE or related","RoleTechnical Architect
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
19,Central Data Scientist (clinical),PRA Health Sciences,Bengaluru,6 - 8 years,"₹ 10,00,000 - 14,00,000 P.A.","Key Skills
Clinical ResearchSAS ProgrammingClinical Data ManagementRoot CauseData ReviewManagement SystemsReporting ToolsPythonSQL","Acting as a key functional lead on projects, the Central Data Scientist assesses trial compliance, performs trending analyses, conducts exploratory data reviews, and reports findings to internal and external stakeholders.

Key responsibilities in this role include:
Centrally reviews clinical data at aggregate level, using analytic reporting tools to support the identification of risks and data patterns/trends.
Reviews clinical and external data for subjects enrolled in clinical research protocols based on functional plans.
Mitigates risks by using signal detection and quality indicators.
Communicates and triages issues to appropriate roles for follow-up and action to address root cause.
Creates analytic outputs and presentations to facilitate data reviews and to support data-driven decision-making.
Supports activities related to development of the Clinical Data Management Systems (CDMS).
Contributes to the development and maintenance of study documents specifying central monitoring strategy, approach and procedures on assigned protocols/projects.
Provides input to applications, databases and systems used to monitor study data.
Leads or supports the clinical data review activities associated with a clinical trial and the delivery of data fit for analysis.","RoleAnalytical Chemistry Associate/Scientist
Industry TypePharma, Biotech, Clinical Research
Functional AreaMedical, Healthcare, R&D, Pharmaceuticals, Biotechnology
Employment TypeFull Time, Permanent
Role CategoryR&D","Education
UG :Any Graduate in Any Specialization"
